"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\value_objects\logged_in_user.dart", "Dart", -81, -31, -21, -133
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\value_objects\money.dart", "Dart", -43, -36, -15, -94
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\value_objects\month\month.dart", "Dart", -31, -19, -16, -66
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\value_objects\month\month_name.dart", "Dart", -14, 0, -1, -15
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\value_objects\user_role.dart", "Dart", -37, -20, -13, -70
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\value_objects\year.dart", "Dart", -22, -8, -9, -39
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\features\goals_management\application\use_cases\create_annual_revenue_goal\create_annual_revenue_goal.dart", "Dart", -139, -38, -16, -193
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\features\goals_management\application\use_cases\create_annual_revenue_goal\create_annual_revenue_goal_params.dart", "Dart", -10, 0, -3, -13
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\features\goals_management\application\use_cases\create_annual_revenue_goal\failures\create_annual_revenue_goal_failure.dart", "Dart", -23, -1, -6, -30
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\features\goals_management\application\use_cases\create_annual_revenue_goal\failures\create_annual_revenue_goal_failure_reason.dart", "Dart", -9, -7, -7, -23
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\infra\config\data_sources\firestore_config.dart", "Dart", -25, -12, -7, -44
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\infra\config\data_sources\remote_data_source_config.dart", "Dart", -3, -1, -1, -5
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\infra\config\goals_module_config.dart", "Dart", -15, -43, -5, -63
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\infra\data_sources\firestore\annual_revenue_goal_remote_data_source_firestore_impl.dart", "Dart", -86, -14, -15, -115
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\infra\services\access_control_service_impl.dart", "Dart", -29, -6, -9, -44
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\infra\services\network_service_impl.dart", "Dart", -113, -56, -32, -201
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\infra\services\rate_limiter_service_impl.dart", "Dart", -46, -11, -11, -68
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\infra\services\real_time_service_impl.dart", "Dart", -42, -4, -9, -55
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\bits_goals_module_method_channel_test.dart", "Dart", 22, 0, 6, 28
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\bits_goals_module_platform_interface_test.dart", "Dart", 20, 2, 5, 27
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\bits_goals_module_test.dart", "Dart", 23, 0, 7, 30
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\manual_integration_tests\.run_all_manual_tests.dart", "Dart", 69, 9, 19, 97
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\manual_integration_tests\src\infra\data_sources\mitest_annual_revenue_goal_remote_data_source_firestore_impl.dart", "Dart", 3, 10, 2, 15
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\manual_integration_tests\src\infra\services\mitest_network_service.dart", "Dart", 102, 30, 27, 159
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\manual_integration_tests\src\infra\services\mitest_real_time_service.dart", "Dart", 70, 13, 15, 98
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\src\core\application\exceptions\network_service_exception_test.dart", "Dart", 18, 0, 6, 24
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\src\core\application\exceptions\rate_limiter_exception_test.dart", "Dart", 27, 0, 6, 33
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\src\core\application\exceptions\real_time_service_exception_test.dart", "Dart", 16, 1, 5, 22
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\src\core\data\extensions\map_parsing_extension_test.dart", "Dart", 576, 28, 172, 776
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\src\core\data\mappers\annual_revenue_goal_snapshot_mapper_impl_test.dart", "Dart", 107, 0, 24, 131
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\src\core\data\models\action_log_model_test.dart", "Dart", 596, 14, 131, 741
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\src\core\data\models\annual_revenue_goal_meta_remote_model_test.dart", "Dart", 179, 0, 62, 241
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\src\core\data\models\monthly_revenue_goal_remote_model_test.dart", "Dart", 182, 59, 40, 281
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\src\core\data\repositories\annual_revenue_goal_repository_impl_test.dart", "Dart", 377, 27, 48, 452
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\src\core\domain\entities\action_log\action_log_test.dart", "Dart", 974, 314, 291, 1579
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\src\core\domain\entities\annual_revenue_goal_test.dart", "Dart", 510, 137, 118, 765
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\src\core\domain\entities\monthly_revenue_goal_test.dart", "Dart", 770, 220, 204, 1194
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\src\core\domain\failures\domain_failures_test.dart", "Dart", 141, 39, 30, 210
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\src\core\domain\services\split_annual_revenue_goal_test.dart", "Dart", 83, 19, 22, 124
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\src\core\domain\utils\string_utils_test.dart", "Dart", 30, 1, 5, 36
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\src\core\domain\value_objects\app_version_test.dart", "Dart", 93, 0, 18, 111
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\src\core\domain\value_objects\device_info_test.dart", "Dart", 74, 0, 16, 90
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\src\core\domain\value_objects\email_test.dart", "Dart", 99, 0, 10, 109
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\src\core\domain\value_objects\id_uuid_v7_test.dart", "Dart", 58, 15, 16, 89
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\src\core\domain\value_objects\ip_address_test.dart", "Dart", 141, 19, 26, 186
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\src\core\domain\value_objects\logged_in_user_test.dart", "Dart", 164, 4, 17, 185
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\src\core\domain\value_objects\money_test.dart", "Dart", 408, 59, 143, 610
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\src\core\domain\value_objects\month\month_test.dart", "Dart", 187, 26, 44, 257
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\src\core\domain\value_objects\user_role_test.dart", "Dart", 117, 40, 26, 183
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\src\core\domain\value_objects\year_test.dart", "Dart", 77, 9, 25, 111
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\src\features\goals_management\application\use_cases\create_annual_revenue_goal\create_annual_revenue_goal_test.dart", "Dart", 605, 95, 112, 812
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\src\infra\config\data_sources\firestore_config_test.dart", "Dart", 98, 16, 18, 132
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\src\infra\config\goals_module_config_test.dart", "Dart", 142, 29, 28, 199
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\src\infra\data_sources\firestore\annual_revenue_goal_firestore_data_source_impl_test.dart", "Dart", 256, 11, 44, 311
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\src\infra\services\access_control_service_impl_test.dart", "Dart", 109, 44, 33, 186
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\src\infra\services\network_service_impl_test.dart", "Dart", 215, 65, 73, 353
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\src\infra\services\rate_limiter_service_impl_test.dart", "Dart", 614, 62, 121, 797
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\test\src\infra\services\real_time_service_impl_test.dart", "Dart", 106, 21, 27, 154
"Total", "-", 6303, 719, 1440, 8462
